                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4792,                 3.2639,                 1.6514,                 0.8188,                 0.7197,                0.70019,                0.42409,                 1.3539,                 3.8119,                 1.4986,             0.00015003,             0.00015003,             0.00015003
                      2,                 1.3036,                 1.7277,                 1.3884,                0.84915,                 0.7706,                0.74471,                0.48688,                  1.396,                 1.6387,                 1.5704,             0.00030105,             0.00030105,             0.00030105
                      3,                 1.1583,                 1.4138,                 1.3369,                0.91336,                0.68158,                0.74635,                0.51062,                 1.4135,                 1.2531,                 1.6484,             0.00043557,             0.00043557,             0.00043557
                      4,                 1.1387,                 1.3044,                 1.2454,                0.86168,                0.74242,                 0.7751,                0.46502,                 1.4361,                 1.5628,                 1.6018,             0.00055359,             0.00055359,             0.00055359
                      5,                 1.1162,                 1.1684,                 1.2761,                0.80616,                0.77087,                0.79688,                0.46609,                 1.5104,                 1.5467,                 1.5893,              0.0006551,              0.0006551,              0.0006551
                      6,                 1.2415,                 1.1848,                 1.3364,                0.63327,                0.74663,                0.65748,                0.38627,                 1.6816,                 1.8167,                 1.7281,             0.00074011,             0.00074011,             0.00074011
                      7,                 1.0938,                 1.0541,                 1.2564,                0.66091,                 0.7096,                0.65923,                0.39916,                 1.6941,                 2.1347,                 1.9079,             0.00080861,             0.00080861,             0.00080861
                      8,                 1.1955,                  1.051,                 1.2938,                0.41687,                0.65404,                0.48716,                0.25471,                 1.8911,                 7.6421,                 1.9538,             0.00086061,             0.00086061,             0.00086061
                      9,                 1.1781,                 1.0712,                 1.2744,                0.29924,                0.69108,                0.40956,                0.19646,                 1.9091,                  6.475,                 2.2752,             0.00089611,             0.00089611,             0.00089611
                     10,                 1.1866,                 1.0491,                 1.2721,                0.78003,                0.70741,                0.73144,                0.42362,                 1.7218,                 1.9819,                 2.0122,             0.00091511,             0.00091511,             0.00091511
                     11,                 1.1034,                 1.0056,                 1.2745,                0.82345,                0.69799,                0.70685,                 0.3618,                   1.89,                 1.7704,                 1.9949,             0.00084184,             0.00084184,             0.00084184
                     12,                 1.0604,                0.90218,                 1.2871,                0.64655,                0.73404,                0.71834,                 0.4487,                 1.6293,                 1.3103,                 1.9361,             0.00075932,             0.00075932,             0.00075932
                     13,                 1.0134,                0.84837,                 1.2306,                0.75478,                0.77519,                0.74448,                0.46493,                 1.4651,                  1.397,                 1.7245,              0.0006768,              0.0006768,              0.0006768
                     14,                0.99497,                0.80091,                 1.2316,                0.85573,                0.71744,                0.77546,                0.49283,                 1.5089,                 1.2738,                  1.769,             0.00059429,             0.00059429,             0.00059429
                     15,                0.99032,                0.78441,                 1.2131,                0.89484,                0.78367,                0.79729,                0.54288,                 1.4102,                 1.1129,                 1.7214,             0.00051177,             0.00051177,             0.00051177
                     16,                0.94835,                0.71735,                 1.1859,                0.89329,                0.76515,                0.78463,                0.53787,                 1.4673,                 1.0004,                 1.7519,             0.00042925,             0.00042925,             0.00042925
                     17,                0.88297,                0.67784,                 1.1311,                0.93327,                0.78367,                0.83009,                 0.5537,                 1.4092,                0.97929,                 1.6751,             0.00034674,             0.00034674,             0.00034674
                     18,                0.86335,                0.64914,                 1.1361,                0.89805,                0.78367,                0.83756,                0.58478,                 1.3555,                0.90962,                 1.6065,             0.00026422,             0.00026422,             0.00026422
                     19,                0.87799,                0.65795,                 1.1504,                0.92199,                0.77184,                0.83364,                0.59272,                 1.3395,                0.85583,                 1.5639,              0.0001817,              0.0001817,              0.0001817
                     20,                0.85409,                0.63447,                 1.1339,                0.92279,                0.73909,                0.83549,                0.59972,                 1.3322,                0.85604,                 1.5339,             9.9187e-05,             9.9187e-05,             9.9187e-05
